Log,Attack Type
  31  126.020818    147.32.84.165       147.32.84.255       eth:ethertype:ip:udp:nbns      92  Name query NB WORKGROUP<1b>,DNS Fast-Flux
1092  294.565938    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=97021 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
1616  326.489065    147.32.84.165       213.165.64.100      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1307 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1230  294.708175    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=191269 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
 975  294.072808    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 974#1] 1255 â†’ 80 [ACK] Seq=246 Ack=16633 Win=63054 Len=0,DNS Fast-Flux
1085  294.565370    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=92863 Win=64440 Len=0,DNS Fast-Flux
 515  216.749037    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=120737 Win=32928 Len=0,DNS Fast-Flux
1551  306.560378    147.32.84.165       64.136.44.37        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1298 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1568  311.684910    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  1301 â†’ 80 [ACK] Seq=471 Ack=249 Win=64373 Len=0,DNS Fast-Flux
1811  342.236538    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     219  Standard query response 0xed63 A cdptpa-smtpin02.mail.rr.com A 75.180.132.244 NS cdptpa-admin02.mail.rr.com NS hrndva-admin01.mail.rr.com NS hrndva-admin02.mail.rr.com NS cdptpa-admin01.mail.rr.com,DNS Fast-Flux
1574  314.572346    147.32.84.165       210.211.186.4       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1300 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
"  45  126.776830    147.32.84.165       147.32.84.171       eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego:ntlmssp     294  Session Setup AndX Request, NTLMSSP_NEGOTIATE",DNS Fast-Flux
1687  341.510850    147.32.84.165       65.54.188.126       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1316 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 169  197.901752    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 168#1] 1044 â†’ 80 [ACK] Seq=86 Ack=4117 Win=64484 Len=0,DNS Fast-Flux
 304  201.827887    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 303#1] 1047 â†’ 80 [ACK] Seq=188 Ack=27441 Win=58640 Len=0,DNS Fast-Flux
 991  294.206957    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 990#1] 1255 â†’ 80 [ACK] Seq=246 Ack=27721 Win=63054 Len=0,DNS Fast-Flux
 556  221.739066    147.32.84.165       117.204.73.246      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1055 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
"1925  353.122477    147.32.84.165       94.63.149.150       eth:ethertype:ip:tcp      63  [TCP Retransmission] 1041 â†’ 80 [PSH, ACK] Seq=79 Ack=538 Win=63703 Len=9",DNS Fast-Flux
 608  245.373391    147.32.84.165       89.103.213.96       eth:ethertype:ip:tcp      62  1069 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1619  327.090281    147.32.84.165       216.104.161.5       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1310 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 758  275.315557    147.32.84.165       178.122.100.224     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1077 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 439  215.533702    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=63113 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
 583  227.747156    147.32.84.165       222.252.117.126     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1057 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1519  299.650432    147.32.84.165       77.238.184.241      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1291 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 528  218.789995    147.32.84.165       95.155.98.55        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1054 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 343  214.050367    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  [TCP Dup ACK 342#1] 1049 â†’ 80 [ACK] Seq=472 Ack=249 Win=64373 Len=0,DNS Fast-Flux
1737  341.676346    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x0165 A i.mx.mail.yahoo.com,DNS Fast-Flux
" 368  214.914975    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [PSH, ACK] Seq=8233 Ack=184 Win=6432 Len=2744",DNS Fast-Flux
 186  198.287338    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1044 â†’ 80 [ACK] Seq=86 Ack=15093 Win=64484 Len=0,DNS Fast-Flux
1117  294.568478    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1116#1] 1255 â†’ 80 [ACK] Seq=246 Ack=115039 Win=49194 Len=0,DNS Fast-Flux
1755  341.846131    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      87  Standard query 0x2864 A cdptpa-smtpin01.mail.rr.com,DNS Fast-Flux
1426  296.499610    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  1273 â†’ 80 [ACK] Seq=1 Ack=1 Win=64620 Len=0,DNS Fast-Flux
 301  201.827611    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1047 [ACK] Seq=24697 Ack=188 Win=6432 Len=2744,DNS Fast-Flux
1904  347.519411    147.32.84.165       212.117.171.138     eth:ethertype:ip:tcp      62  1327 â†’ 65500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 833  291.278972    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1256 â†’ 80 [ACK] Seq=185 Ack=17837 Win=64484 Len=0,DNS Fast-Flux
 544  219.586117    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 517#3] 1050 â†’ 80 [ACK] Seq=184 Ack=121186 Win=64484 Len=0,DNS Fast-Flux
1601  324.486639    147.32.84.165       81.199.182.101      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1302 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 351  214.431865    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 350#1] 1050 â†’ 80 [ACK] Seq=1 Ack=1 Win=64484 Len=0,DNS Fast-Flux
1933  353.528019    147.32.84.165       89.103.213.96       eth:ethertype:ip:tcp      62  1361 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1511  299.550606    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1287 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 979  294.073052    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 978#1] 1255 â†’ 80 [ACK] Seq=246 Ack=19405 Win=64440 Len=0,DNS Fast-Flux
" 176  198.092860    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1044 [PSH, ACK] Seq=9605 Ack=86 Win=5840 Len=1372",DNS Fast-Flux
 483  215.749047    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=98785 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
1413  296.481917    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     190  Standard query response 0xaea9 MX gmx.tm MX 10 mx1.gmx.net MX 10 mx0.gmx.net NS NS.SCHLUND.DE NS DNS.gmx.net A 195.20.224.97 A 213.165.64.1,DNS Fast-Flux
1611  326.488926    147.32.84.165       65.55.37.72         eth:ethertype:ip:tcp      62  [TCP Retransmission] 1304 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 124  166.711149    147.32.84.165       94.63.149.152       eth:ethertype:ip:tcp      60  1042 â†’ 80 [ACK] Seq=91 Ack=16061 Win=64240 Len=0,DNS Fast-Flux
 600  245.373173    147.32.84.165       27.255.59.65        eth:ethertype:ip:tcp      62  1065 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1795  342.207272    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0xc462 A k.mx.mail.yahoo.com A 98.139.54.60 NS ns2.yahoo.com NS ns3.yahoo.com NS ns4.yahoo.com NS ns1.yahoo.com NS ns5.yahoo.com NS ns8.yahoo.com NS ns6.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
1746  341.737761    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      69  Standard query 0xd7b9 A gmail.com,DNS Fast-Flux
1379  296.393568    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      81  Standard query 0xb65f A mailin.v6.t-online.de,DNS Fast-Flux
1186  294.683134    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1183#2] 1255 â†’ 80 [ACK] Seq=246 Ack=163549 Win=54340 Len=0,DNS Fast-Flux
 486  215.749320    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 485#1] 1050 â†’ 80 [ACK] Seq=184 Ack=100157 Win=6860 Len=0,DNS Fast-Flux
 332  213.832698    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      62  1049 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 789  290.438459    147.32.84.165       195.113.232.98      eth:ethertype:ip:tcp      60  1258 â†’ 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0,DNS Fast-Flux
 195  198.288081    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 194#1] 1044 â†’ 80 [ACK] Seq=86 Ack=21953 Win=61740 Len=0,DNS Fast-Flux
 638  248.377038    147.32.84.165       93.177.158.45       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1064 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 472  215.748149    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1050 [ACK] Seq=90553 Ack=184 Win=6432 Len=1372,DNS Fast-Flux
1714  341.624402    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      91  Standard query 0x3669 A alt1.gmail-smtp-in.l.google.com,DNS Fast-Flux
" 323  202.984753    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp     517  [TCP Retransmission] 1048 â†’ 80 [PSH, ACK] Seq=1 Ack=1 Win=64620 Len=463",DNS Fast-Flux
1197  294.702867    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=170479 Win=64440 Len=0,DNS Fast-Flux
 267  201.067806    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1047 â†’ 80 [ACK] Seq=188 Ack=2745 Win=64484 Len=0,DNS Fast-Flux
1544  305.659456    147.32.84.165       204.127.217.16      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1292 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1804  342.231647    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0xff7f A l.mx.mail.yahoo.com A 74.6.136.244 NS ns4.yahoo.com NS ns2.yahoo.com NS ns1.yahoo.com NS ns5.yahoo.com NS ns6.yahoo.com NS ns3.yahoo.com NS ns8.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
  68  161.513105    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      71  Standard query 0x7649 A jot.tasb.ru,DNS Fast-Flux
1738  341.713563    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      72  Standard query 0xccb6 MX adelphia.net,DNS Fast-Flux
"1593  324.041889    81.199.182.101      147.32.84.165       eth:ethertype:ip:tcp      60  6667 â†’ 1302 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",DNS Fast-Flux
"1564  311.573230    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp     524  [TCP Retransmission] 1301 â†’ 80 [PSH, ACK] Seq=1 Ack=1 Win=64620 Len=470",DNS Fast-Flux
 481  215.749020    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=97413 Win=9604 Len=0,DNS Fast-Flux
1757  341.853679    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     136  Standard query response 0x44b8 A hol.gr A 195.97.21.22 NS ns0.hol.gr NS ns1.hol.gr NS ns2.hol.gr,DNS Fast-Flux
1913  348.185996    147.32.84.165       212.117.171.138     eth:ethertype:ip:tcp      60  1327 â†’ 65500 [ACK] Seq=1 Ack=6 Win=64236 Len=0,DNS Fast-Flux
1441  296.593186    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     445  Standard query response 0xbe54 A mx3.hotmail.com A 65.54.188.94 A 65.54.188.110 A 65.54.188.126 A 65.55.37.72 A 65.55.37.88 A 65.55.37.104 A 65.55.37.120 A 65.55.92.136 A 65.55.92.152 A 65.55.92.168 A 65.55.92.184 A 65.54.188.72 NS ns4.msft.net NS ns5.msft.net NS ns2.msft.net NS ns3.msft.net NS ns1.msft.net A 65.55.37.62 A 64.4.59.173 A 213.199.159.59 A 64.4.59.173 A 65.55.226.140,DNS Fast-Flux
1461  296.620706    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1288 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 888  291.613123    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 887#1] 1256 â†’ 80 [ACK] Seq=185 Ack=57625 Win=32216 Len=0,DNS Fast-Flux
" 423  215.410386    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1050 [PSH, ACK] Seq=50765 Ack=184 Win=6432 Len=1372",DNS Fast-Flux
1675  339.554989    147.32.84.165       217.34.4.225        eth:ethertype:ip:tcp      60  1326 â†’ 6667 [ACK] Seq=294 Ack=264 Win=63978 Len=0,DNS Fast-Flux
"1450  296.610939    94.63.150.63        147.32.84.165       eth:ethertype:ip:tcp      60  80 â†’ 1273 [FIN, ACK] Seq=248 Ack=468 Win=6432 Len=0",DNS Fast-Flux
 765  275.416179    147.32.84.165       117.204.67.227      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1081 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 520  218.684532    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 517#2] 1050 â†’ 80 [ACK] Seq=184 Ack=121186 Win=50316 Len=0,DNS Fast-Flux
1432  296.513832    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      71  Standard query 0xa856 A mx0.gmx.net,DNS Fast-Flux
 614  245.479359    147.32.84.165       117.198.86.115      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1071 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1531  305.559318    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1287 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1783  342.117572    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      67  Standard query 0x59ba MX aol.com,DNS Fast-Flux
1659  338.506796    147.32.84.165       209.240.157.116     eth:ethertype:ip:tcp      62  1322 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 454  215.573192    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1050 [ACK] Seq=76833 Ack=184 Win=6432 Len=1372,DNS Fast-Flux
 731  269.307044    147.32.84.165       178.133.119.252     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1074 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 535  218.791133    147.32.84.165       117.204.73.246      eth:ethertype:ip:tcp      62  1058 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 966  293.955364    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=11089 Win=64440 Len=0,DNS Fast-Flux
1285  294.828576    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=224533 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
1740  341.731506    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     163  Standard query response 0xd4b5 MX hol.gr MX 10 982722360.pamx1.hotmail.com NS ns1.hol.gr NS ns0.hol.gr NS ns2.hol.gr,DNS Fast-Flux
 262  200.876012    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp:http     241  GET /temp/3425.exe?t=6.715029E-02 HTTP/1.0 ,DNS Fast-Flux
 536  218.791138    147.32.84.165       117.204.73.246      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1058 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 969  293.955430    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 968#1] 1255 â†’ 80 [ACK] Seq=246 Ack=12475 Win=63054 Len=0,DNS Fast-Flux
 241  199.974290    94.63.150.63        147.32.84.165       eth:ethertype:ip:tcp    1404  80 â†’ 1046 [ACK] Seq=4051 Ack=302 Win=6432 Len=1350,DNS Fast-Flux
 820  291.114277    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 819#1] 1256 â†’ 80 [ACK] Seq=185 Ack=8233 Win=64484 Len=0,DNS Fast-Flux
 693  266.303272    147.32.84.165       123.194.145.64      eth:ethertype:ip:tcp      62  1079 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 421  215.410335    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=50765 Win=39076 Len=0,DNS Fast-Flux
1086  294.565380    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1085#1] 1255 â†’ 80 [ACK] Seq=246 Ack=92863 Win=64440 Len=0,DNS Fast-Flux
1999  368.549832    147.32.84.165       216.104.161.5       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1358 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 366  214.914960    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=8233 Win=64484 Len=0,DNS Fast-Flux
1023  294.337530    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=51283 Win=63054 Len=0,DNS Fast-Flux
1241  294.711987    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Window Update] 1255 â†’ 80 [ACK] Seq=246 Ack=196813 Win=64440 Len=0,DNS Fast-Flux
 589  227.747234    147.32.84.165       98.154.67.160       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1060 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 737  269.307198    147.32.84.165       210.212.249.136     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1078 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1762  341.997396    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0x0165 A i.mx.mail.yahoo.com A 74.6.140.64 NS ns3.yahoo.com NS ns6.yahoo.com NS ns4.yahoo.com NS ns2.yahoo.com NS ns8.yahoo.com NS ns1.yahoo.com NS ns5.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
 942  293.441556    147.32.84.165       117.204.67.227      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1259 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
  72  161.537698    147.32.84.165       94.63.149.150       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1041 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1408  296.471921    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      76  Standard query 0xc157 A mx02.t-online.de,DNS Fast-Flux
 260  200.875721    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1047 â†’ 80 [ACK] Seq=1 Ack=1 Win=64484 Len=0,DNS Fast-Flux
"  52  126.786916    147.32.84.165       147.32.84.171       eth:ethertype:ip:tcp     150  [TCP Retransmission] 1040 â†’ 139 [PSH, ACK] Seq=726 Ack=550 Win=63691 Len=96",DNS Fast-Flux
 199  198.288490    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1044 â†’ 80 [ACK] Seq=86 Ack=24697 Win=61740 Len=0,DNS Fast-Flux
1789  342.174805    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x6a63 A f.mx.mail.yahoo.com,DNS Fast-Flux
 651  248.476659    147.32.84.165       117.198.86.115      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1071 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 333  213.832705    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1049 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1360  296.310923    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      66  Standard query 0xaea9 MX gmx.tm,DNS Fast-Flux
 594  245.373007    147.32.84.165       101.0.32.121        eth:ethertype:ip:tcp      62  1062 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1392  296.421109    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     203  Standard query response 0x1659 A gateway-f1.isp.att.net A 204.127.217.16 NS wycu.wy.br.np.els-gms.att.net NS ohcu.oh.mt.np.els-gms.att.net NS macu.ma.mt.np.els-gms.att.net NS orcu.or.br.np.els-gms.att.net,DNS Fast-Flux
1801  342.208522    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0xff7f A l.mx.mail.yahoo.com,DNS Fast-Flux
1315  294.839006    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      74  [TCP Dup ACK 1301#10] 1255 â†’ 80 [ACK] Seq=246 Ack=234235 Win=63054 Len=0 SLE=248095 SRE=249401 SLE=245323 SRE=246709,DNS Fast-Flux
1112  294.568006    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=112267 Win=51966 Len=0,DNS Fast-Flux
1007  294.333340    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=40195 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
1327  294.953027    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      66  1255 â†’ 80 [ACK] Seq=246 Ack=246709 Win=61270 Len=0 SLE=248095 SRE=249401,DNS Fast-Flux
 427  215.410956    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=54881 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
1559  311.572892    147.32.84.165       210.211.186.4       eth:ethertype:ip:tcp      62  1300 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1294  294.834085    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Window Update] 1255 â†’ 80 [ACK] Seq=246 Ack=230077 Win=63246 Len=0,DNS Fast-Flux
 591  227.747261    147.32.84.165       42.201.166.157      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1061 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1958  354.129011    147.32.84.165       98.137.54.238       eth:ethertype:ip:tcp      62  1350 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1977  356.532602    147.32.84.165       75.180.132.243      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1346 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1133  294.570366    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    2826  80 â†’ 1255 [ACK] Seq=128899 Ack=246 Win=6432 Len=2772,DNS Fast-Flux
 986  294.206563    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    4212  80 â†’ 1255 [ACK] Seq=23563 Ack=246 Win=6432 Len=4158,DNS Fast-Flux
 399  215.243700    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=32929 Win=53152 Len=0,DNS Fast-Flux
1512  299.550615    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1287 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 437  215.529859    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=63113 Win=26728 Len=0,DNS Fast-Flux
